raceId,year,round,circuitId,name
948,2016,1,1,Australian Grand Prix
949,2016,2,3,Bahrain Grand Prix
950,2016,3,17,Chinese Grand Prix
951,2016,4,71,Russian Grand Prix
952,2016,5,4,Spanish Grand Prix
953,2016,6,6,Monaco Grand Prix
954,2016,7,7,Canadian Grand Prix
955,2016,8,73,European Grand Prix
956,2016,9,70,Austrian Grand Prix
957,2016,10,9,British Grand Prix
958,2016,11,11,Hungarian Grand Prix
959,2016,12,10,German Grand Prix
960,2016,13,13,Belgian Grand Prix
961,2016,14,14,Italian Grand Prix
962,2016,15,15,Singapore Grand Prix
963,2016,16,2,Malaysian Grand Prix
964,2016,17,22,Japanese Grand Prix
965,2016,18,69,United States Grand Prix
966,2016,19,32,Mexican Grand Prix
967,2016,20,18,Brazilian Grand Prix
968,2016,21,24,Abu Dhabi Grand Prix
969,2017,1,1,Australian Grand Prix
970,2017,2,17,Chinese Grand Prix
971,2017,3,3,Bahrain Grand Prix
972,2017,4,71,Russian Grand Prix
973,2017,5,4,Spanish Grand Prix
974,2017,6,6,Monaco Grand Prix
975,2017,7,7,Canadian Grand Prix
976,2017,8,73,Azerbaijan Grand Prix
977,2017,9,70,Austrian Grand Prix
978,2017,10,9,British Grand Prix
979,2017,11,11,Hungarian Grand Prix
980,2017,12,13,Belgian Grand Prix
981,2017,13,14,Italian Grand Prix
982,2017,14,15,Singapore Grand Prix
983,2017,15,2,Malaysian Grand Prix
984,2017,16,22,Japanese Grand Prix
985,2017,17,69,United States Grand Prix
986,2017,18,32,Mexican Grand Prix
987,2017,19,18,Brazilian Grand Prix
988,2017,20,24,Abu Dhabi Grand Prix
989,2018,1,1,Australian Grand Prix
990,2018,2,3,Bahrain Grand Prix
991,2018,3,17,Chinese Grand Prix
992,2018,4,73,Azerbaijan Grand Prix
993,2018,5,4,Spanish Grand Prix
994,2018,6,6,Monaco Grand Prix
995,2018,7,7,Canadian Grand Prix
996,2018,8,34,French Grand Prix
997,2018,9,70,Austrian Grand Prix
998,2018,10,9,British Grand Prix
999,2018,11,10,German Grand Prix
1000,2018,12,11,Hungarian Grand Prix
1001,2018,13,13,Belgian Grand Prix
1002,2018,14,14,Italian Grand Prix
1003,2018,15,15,Singapore Grand Prix
1004,2018,16,71,Russian Grand Prix
1005,2018,17,22,Japanese Grand Prix
1006,2018,18,69,United States Grand Prix
1007,2018,19,32,Mexican Grand Prix
1008,2018,20,18,Brazilian Grand Prix
